video_id,yt8m_file,random_id,youtube_id,duration,views,labels
video_1,train0026,ORaA,JhdjUam0l6A,258,84554,[8]
video_2,train0026,IwaA,wq7rSbQx2G8,137,170768,[  11   20   22   29   32 2604]
video_3,train0026,SLaA,DQntand_VXo,138,63938,[21 23 24]
video_4,train0026,FoaA,0DKYJvpg9l0,188,55751,[21]
video_5,train0026,agaA,Fi2eWcQ5zB0,181,58783,[ 0 12]
video_6,train0026,5baA,4WBYw3pp1gk,198,74299,[311]
video_7,train0026,CyaA,MmurJ1_8N94,160,109377,[ 2  7 83]
video_8,train0026,kXaA,lVvmHaa41OI,257,630637,[133 939]
video_9,train0026,TRaA,3SbZ1ylMjy8,132,53576,[   2   30   90 1575]
video_10,train0026,qOaA,gpum4nK2wOM,163,5355117,[16]
video_11,train0026,rOaA,fxDe5FRovCc,201,107610,[ 802  811 1317 1877]
video_12,train0026,evaA,_JW2fzxsDto,142,112245,[  11 1209]
video_13,train0026,KaaA,QirvRyuy5xs,127,236803,[   2    7  563 1759 1916]
video_14,train0026,ZlaA,9u94OJ5_dYU,177,743670,[ 39 121 156 207]
video_15,train0026,sXaA,aBB8aSRM9PY,205,66650,[  5  16 764]
video_16,train0026,e9aA,Ki-rkT0agaw,212,72073,[  2   7 269 320]
video_17,train0026,d6aA,ZDGGAHCPdYk,230,231755,[  0   1  36 147 851]
video_18,train0026,mwaA,8cL0KtviYwI,295,261705,[  11 1457 1560]
video_19,train0026,7TaA,EOeKApsd5-U,175,72959,[   1  245  294 1990]
video_20,train0026,CMaA,rfRNZZVHvE8,198,685486,[5]
video_21,train0026,4vaA,gSGLltJWpGo,121,324600,[11]
video_22,train0027,6yaB,xtZIzYqzx3w,189,429041,[ 5 16]
video_23,train0027,HcaB,nk9Qdmqz7Qw,151,75567,[  66  390  701 1655]
video_24,train0027,m9aB,jdkN57xvekI,280,652794,[133]
video_25,train0027,4PaB,-BJIzQhavsI,157,55823,[  2 109 155]
video_26,train0027,rCaB,_ZCmVb42Uxo,245,397475,[  2   7  83 208]
video_27,train0027,PqaB,7P_Romr0HS4,242,123779,[  11   20   22   29   32  120  370  426 1588 2038 3616]
video_28,train0027,xHaB,14jpkKNdiXs,147,11337963,[ 5 16]
